Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d5.6p,90851*,0,,90851.2,,0.4,  31  5d5.(4P).6p 3P*               :    25  5d5.(4D).6p         5D*  ,L20381
5d5.(2I).6p,3K*,6,,90872.53,,0.13,  47                                :    22  5d5.(4G).6p         5G*  ,L20381
5d5.(2I).6p,3K*,7,,94639.48,,0.12,  42                                :    28  5d5.(2I).6p         1K*  ,L20381
5d5.(2I).6p,3K*,8,,104771.3,,0.3, 100                                                                  ,L20381
5d5.6p,90918*,3,,90918.56,,0.11,  17  5d5.(4G).6p 5F*               :    11  5d5.(4D).6p         5D*  ,L20381
,90958*,1,,90958.71,,0.18,  26  5d5.(4G).6p 5F*               :    25  5d4.(5D).6s.(6D).6p 7F*  ,L20381
5d5.6p,91310*,5,,91310.38,,0.11,  39  5d5.(4G).6p 5G*               :    25  5d5.(4G).6p         5H*  ,L20381
5d5.(4G).6p,5H*,7,,91948.4,,0.3,  80                                :    13  5d5.(2H).6p         3I*  ,L20381
5d5.(4G).6p,5H*,6,,92688.03,,0.13,  42                                :    32  5d5.(4G).6p         5G*  ,L20381
5d5.(4G).6p,3H*,5,,91988.09,,0.11,  38                                :    27  5d5.(4D).6p         5F*  ,L20381
5d5.(4G).6p,3H*,6,,93447.48,,0.09,  35                                :    24  5d5.(4G).6p         5H*  ,L20381
5d5.(4G).6p,3H*,4,,93488.08,,0.12,  41                                :    18  5d5.(4P).6p         5D*  ,L20381
5d5.6p,92241*,2,,92241.70,,0.14,  16  5d5.(4P).6p 5P*               :    14  5d5.(4D).6p         5D*  ,L20381
5d5.6p,92429*,1,,92429.16,,0.16,  20  5d5.(4D).6p 5D*               :    11  5d5.(2D3).6p        3D*  ,L20381
5d5.6p,92479*,3,,92479.60,,0.15,  21  5d5.(4P).6p 5D*               :    14  5d5.(4P).6p         5P*  ,L20381
5d5.6p,92687*,4,,92687.50,,0.10,  23  5d5.(4G).6p 5F*               :    18  5d5.(4D).6p         5D*  ,L20381
5d5.6p,92998*,3,,92998.06,,0.12,  27  5d5.(4G).6p 3F*               :    15  5d5.(4G).6p         5G*  ,L20381
5d5.6p,93091*,1,,93091.30,,0.16,  21  5d5.(4D).6p 5P*               :    11  5d5.(4P).6p         3S*  ,L20381
5d5.6p,93600*,2,,93600.20,,0.15,  20  5d5.(4P).6p 5P*               :    10  5d5.(4P).6p         5D*  ,L20381
5d5.6p,94489*,2,,94489.56,,0.15,  21  5d5.(4G).6p 5F*               :    15  5d5.(4D).6p         3F*  ,L20381
5d5.6p,94549*,5,,94549.95,,0.08,  15  5d5.(4G).6p 5F*               :    11  5d5.(4G).6p         5G*  ,L20381
5d5.6p,94862*,3,,94862.13,,0.11,  23  5d5.(4G).6p 3G*               :    12  5d5.(4P).6p         5D*  ,L20381
5d5.6p,94899*,4,,94899.13,,0.09,  26  5d5.(4G).6p 3F*               :    17  5d5.(4D).6p         5D*  ,L20381
,95051*,3,,95051.78,,0.13,  16  5d5.(2F2).6p 3G*              :     9  5d5.(4F).6p         5G*  ,L20381
,96385*,3,,96385.57,,0.15,  39  5d4.(5D).6s.(6D).6p 7F*       :     7  5d5.(4G).6p         5F*  ,L20381
,96401*,4,,96401.78,,0.16,  13  5d5.(4D).6p 5F*               :     8  5d5.(2H).6p         3H*  ,L20381
5d5.(4D).6p,5F*,5,,96682.95,,0.11,  45                                :    25  5d5.(4G).6p         3H*  ,L20381
,96847*,2,,96847.14,,0.21,  13  5d5.(4D).6p 3P*               :    11  5d5.(4F).6p         5F*  ,L20381
,96938*,4,,96938.94,,0.12,  13  5d4.(5D).6s.(6D).6p 7F*       :    10  5d5.(4D).6p         5D*  ,L20381
5d5.6p,97160*,1,,97160.71,,0.16,  29  5d5.(4P).6p 3D*               :    11  5d5.(4D).6p         3P*  ,L20381
,97509*,2,,97509.95,,0.13,   9  5d5.(4D).6p 3F*               :     7  5d4.(5D).6s.(6D).6p 7D*  ,L20381
,97681*,3,,97681.02,,0.13,  17  5d5.(4D).6p 3D*               :    12  5d5.(4G).6p         3F*  ,L20381
5d5.(2I).6p,3H*,6,,97919.16,,0.10,  36                                :    19  5d5.(4G).6p         3H*  ,L20381
,98046*,4,,98046.31,,0.11,  12  5d5.(4G).6p 3G*               :     7  5d5.(2F2).6p        3F*  ,L20381
5d5.6p,98505*,4,,98505.95,,0.10,  28  5d5.(2G2).6p 3H*              :    26  5d5.(4G).6p         3G*  ,L20381
5d5.(4G).6p,3G*,5,,98778.65,,0.10,  49                                :     5  5d5.(2I).6p         1H*  ,L20381
,98786*,2,,98786.22,,0.12,  12  5d5.(4D).6p 3D*               :    11  5d5.(4G).6p         3F*  ,L20381
,98801*,3,,98801.91,,0.21,  11  5d5.(4P).6p 5P*               :    11  5d5.(4D).6p         5F*  ,L20381
5d5.6p,98818*,1,,98818.07,,0.15,  21  5d5.(2D3).6p 3P*              :    14  5d5.(4D).6p         5D*  ,L20381
,99131*,3,,99131.54,,0.15,   9  5d5.(2D3).6p 1F*              :     8  5d4.(5D).6s.(6D).6p 7F*  ,L20381
5d5.6p,99394*,5,,99394.49,,0.10,  31  5d5.(2H).6p 3I*               :    12  5d5.(4F).6p         3G*  ,L20381
,99506*,2,,99506.19,,0.21,  15  5d4.(5D).6s.(6D).6p 7D*       :    11  5d5.(4G).6p         3F*  ,L20381
,99621*,2,,99621.00,,0.13,  10  5d5.(4P).6p 5S*               :     9  5d5.(4D).6p         3P*  ,L20381
,99705*,3,,99705.14,,0.13,  13  5d5.(2G2).6p 3G*              :    13  5d5.(4F).6p         5G*  ,L20381
,99941*,4,,99941.31,,0.12,  27  5d4.(5D).6s.(6D).6p 7F*       :     9  5d5.(4F).6p         5D*  ,L20381
,100490*,2,,100490.6,,0.3,  14  5d5.(4F).6p 5G*               :    12  5d5.(4D).6p         3P*  ,L20381
5d5.6p,100975*,1,,100975.04,,0.23,  18  5d5.(4D).6p 3D*               :    17  5d5.(4D).6p         5D*  ,L20381
,100999*,4,,100999.77,,0.10,  18  5d5.(4D).6p 3F*               :    13  5d4.(5D).6s.(6D).6p 7F*  ,L20381
,101282*,3,,101282.10,,0.18,  14  5d4.(5D).6s.(6D).6p 7P*       :     9  5d4.(5D).6s.(6D).6p 7D*  ,L20381
,101285*,2,,101285.84,,0.12,  13  5d5.(2F1).6p 3D*              :     8  5d5.(2D3).6p        3P*  ,L20381
,101556*,5,,101556.57,,0.13,  14  5d4.(5D).6s.(6D).6p 7F*       :    12  5d5.(2I).6p         3I*  ,L20381
,101642*,4,,101642.83,,0.11,  14  5d5.(2H).6p 1G*               :    14  5d5.(4F).6p         5D*  ,L20381
,101693*,3,,101693.6,,0.3,  18  5d4.(5D).6s.(6D).6p 7P*       :    10  5d5.(2G2).6p        3G*  ,L20381
5d4.(5D).6s.(6D).6p,7P*,4,,102306.8,,0.3,  60                                :    10  5d4.(5D).6s.(6D).6p 7D*  ,L20381
5d5.(2I).6p,1K*,7,,102383.43,,0.15,  47                                :    26  5d5.(2I).6p         3K*  ,L20381
5d5.6p,102401*,6,,102401.44,,0.10,  17  5d5.(2H).6p 3H*               :    17  5d5.(2I).6p         3K*  ,L20381
,102685*,5,,102685.72,,0.12,  16  5d5.(2G2).6p 1H*              :    14  5d4.(5D).6s.(6D).6p 7F*  ,L20381
,102823*,2,,102823.6,,0.3,  20  5d5.(2D3).6p 3F*              :     9  5d5.(4D).6p         3P*  ,L20381
5d5.6p,102858*,1,,102858.9,,0.3,  15  5d5.(4P).6p 3S*               :    15  5d5.(2D3).6p        1P*  ,L20381
,103347*,3,,103347.71,,0.12,  12  5d5.(2G2).6p 3G*              :     9  5d5.(2G2).6p        3F*  ,L20381
5d5.6p,103511*,6,,103511.23,,0.21,  31  5d5.(2G2).6p 3H*              :    28  5d5.(4F).6p         5G*  ,L20381
5d5.6p,103672*,4,,103672.00,,0.13,  18  5d5.(2F1).6p 3G*              :    14  5d5.(4F).6p         5G*  ,L20381
5d5.6p,103705*,1,,103705.7,,0.3,  23  5d5.(4D).6p 3D*               :    20  5d5.(4F).6p         5F*  ,L20381
,103733*,3,,103733.46,,0.15,  12  5d5.(2F2).6p 3F*              :     9  5d5.(4F).6p         5F*  ,L20381
,104156*,5,,104156.95,,0.13,  21  5d4.(5D).6s.(6D).6p 7F*       :    20  5d5.(2I).6p         3I*  ,L20381
,104224*,3,,104224.29,,0.20,  14  5d5.(4F).6p 5D*               :    13  5d5.(4F).6p         5F*  ,L20381
,104582*,2,,104582.0,,0.4,  20  5d5.(2D3).6p 3D*              :     9  5d5.(4F).6p         5F*  ,L20381
5d5.6p,104677*,5,,104677.42,,0.16,  19  5d5.(2I).6p 3H*               :    13  5d5.(4F).6p         5G*  ,L20381
,104839*,4,,104839.58,,0.11,  11  5d5.(2I).6p 3H*               :    11  5d5.(2G2).6p        3G*  ,L20381
5d5.(2I).6p,3I*,7,,105119.89,,0.14,  69                                :    17  5d5.(2I).6p         3K*  ,L20381
5d5.6p,105495*,4,,105495.60,,0.12,  24  5d5.(2I).6p 3H*               :    11  5d5.(4G).6p         3F*  ,L20381
5d5.6p,105695*,4,,105695.99,,0.16,  23  5d5.(2F2).6p 3F*              :    10  5d5.(4F).6p         5F*  ,L20381
5d5.6p,106365*,5,,106365.08,,0.11,  29  5d5.(2H).6p 3I*               :    17  5d5.(2G2).6p        3H*  ,L20381
5d5.6p,106619*,6,,106619.25,,0.19,  19  5d5.(2I).6p 3I*               :    15  5d5.(2I).6p         3H*  ,L20381
,106784*,3,,106784.76,,0.12,  10  5d4.(5D).6s.(6D).6p 7D*       :     8  5d5.(2G2).6p        3F*  ,L20381
,107671*,4,,107671.50,,0.18,  18  5d5.(2F1).6p 1G*              :    11  5d5.(4P).6p         5D*  ,L20381
5d5.6p,108170*,5,,108170.66,,0.12,  32  5d5.(2H).6p 3H*               :    21  5d5.(2I).6p         3H*  ,L20381
,108315*,4,,108315.66,,0.15,  14  5d5.(2G2).6p 3G*              :    10  5d5.(2G2).6p        3F*  ,L20381
,108606*,3,,108606.4,,0.4,  11  5d5.(2G2).6p 3F*              :     9  5d5.(4F).6p         5F*  ,L20381
