Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,5/2,64 448.7503,0.0011,1.380,85,,,,10,3d4(a 3F)4p,4D°,"L18847,L7185"
,,7/2,64 924.4609,0.0011,1.411,80,,,,14,3d4(a 3F)4p,4D°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3P)4p,z 2S°,1/2,65 029.3350,0.0011,,73,,,,7,3d4(a 3P)4p,4P°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3F)4p,z 4G°,5/2,65 156.4895,0.0011,0.593,79,,,,14,3d4(3G)4p,4G°,"L18847,L7185"
,,7/2,65 256.8513,0.0011,0.920,70,,,,12,3d4(3G)4p,4G°,"L18847,L7185"
,,9/2,65 383.9035,0.0011,1.120,59,,,,10,3d4(3G)4p,4G°,"L18847,L7185"
,,11/2,65 709.4418,0.0011,1.265,73,,,,13,3d4(3G)4p,4G°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3H)4p,z 4I°,9/2,65 217.5070,0.0011,,96,,,,,,,"L18847,L7185"
,,11/2,65 419.5155,0.0011,,95,,,,,,,"L18847,L7185"
,,13/2,65 617.9458,0.0011,,96,,,,,,,"L18847,L7185"
,,15/2,65 812.6491,0.0011,,100,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3H)4p,z 2G°,7/2,65 542.8987,0.0011,,49,,,,33,3d4(a 3F)4p,2G°,"L18847,L7185"
,,9/2,65 680.0091,0.0011,,41,,,,31,3d4(a 3F)4p,2G°,"L18847,L7185"
,,,,,,,,,,,,,
3d34s2,d 4P,1/2,65 882.4132,0.0011,,,,,,,,,L18847
,,3/2,66 010.2463,0.0011,,,,,,,,,L18847
,,5/2,66 256.5589,0.0011,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(a 3P)4p,y 4P°,1/2,66 256.4419,0.0015,2.545,76,,,,13,3d4(a 3P)4p,2S°,"L18847,L7185"
,,3/2,66 354.7570,0.0011,1.671,90,,,,,,,"L18847,L7185"
,,5/2,66 726.7823,0.0011,1.502,92,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3P)4p,z 2P°,3/2,66 649.3915,0.0011,,53,,,,15,3d4(a 3F)4p,2D°,"L18847,L7185"
,,1/2,66 871.8296,0.0011,,79,,,,14,3d4(a 3P)4p,2S°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3F)4p,y 4F°,5/2,67 012.0754,0.0011,,71,,,,13,3d4(a 3F)4p,2D°,"L18847,L7185"
,,3/2,67 070.4394,0.0012,,51,,,,21,3d4(a 3P)4p,2P°,"L18847,L7185"
,,7/2,67 393.4495,0.0012,,76,,,,10,3d4(3H)4p,4G°,"L18847,L7185"
,,9/2,67 448.5405,0.0012,,63,,,,18,3d4(3H)4p,4G°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3H)4p,y 4G°,7/2,67 333.7774,0.0012,,60,,,,18,3d4(a 3F)4p,4F°,"L18847,L7185"
,,5/2,67 344.0068,0.0012,,66,,,,13,3d4(a 3F)4p,4G°,"L18847,L7185"
,,9/2,67 353.2671,0.0012,,51,,,,32,3d4(a 3F)4p,4F°,"L18847,L7185"
,,11/2,67 369.0687,0.0012,,65,,,,22,3d4(a 3F)4p,4G°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3F)4p,z 2D°,3/2,67 379.2950,0.0012,,28,,,,32,3d4(a 3F)4p,4F°,"L18847,L7185"
,,5/2,67 387.0906,0.0012,,50,,,,18,3d4(a 3F)4p,4F°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3H)4p,z 2I°,11/2,67 506.0890,0.0012,,93,,,,,,,"L18847,L7185"
,,13/2,67 588.8727,0.0012,,95,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3F)4p,x 4D°,1/2,67 859.5593,0.0012,,88,,,,11,3d4(a 3P)4p,4D°,"L18847,L7185"
,,5/2,67 867.7867,0.0012,,77,,,,13,3d4(a 3P)4p,4D°,"L18847,L7185"
,,3/2,67 870.2106,0.0012,,84,,,,12,3d4(a 3P)4p,4D°,"L18847,L7185"
,,7/2,67 875.3689,0.0012,,69,,,,19,3d4(a 3P)4p,4D°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3P)4p,z 4S°,3/2,68 305.5518,0.0012,1.978,70,,,,17,3d4(a 3P)4p,2P°,"L18847,L7185"
,,,,,,,,,,,,,
