Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
3d5(a 2F)4p,3D°,3,135 705.61,0.10,67,,,,11,3d5(b 2F)4p,3D°,L11223
,,1,136 236.06,0.10,57,,,,14,3d5(a 2D)4p,1P°,L11223
,,2,136 532.32,0.10,34,,,,21,3d5(4F)4p,5F°,L11223
,,,,,,,,,,,,
3d5(4F)4p,5F°,4,135 990.84,0.10,73,,,,18,3d5(4F)4p,5D°,L11223
,,3,136 008.90,0.10,74,,,,16,3d5(4F)4p,5D°,L11223
,,2,136 117.95,0.10,54,,,,15,3d5(4F)4p,5D°,L11223
,,5,136 185.16,0.11,87,,,,,,,L11223
,,1,136 464.80,0.10,76,,,,6,3d5(a 2D)4p,3D°,L11223
,,,,,,,,,,,,
3d5(a 2D)4p,1F°,3,136 200.07,0.09,30,3d5(a 2F)4p,3G°,,21,3d5(a 2D)4p,1F°,L11223
,,,,,,,,,,,,
3d5(a 2F)4p,3F°,4,136 612.84,0.10,31,,,,26,3d5(a 2D)4p,3F°,L11223
,,2,136 793.80,0.09,34,,,,20,3d5(a 2D)4p,3F°,L11223
,,3,136 796.90,0.09,39,,,,12,3d5(a 2D)4p,1F°,L11223
,,,,,,,,,,,,
3d5(4F)4p,5D°,4,137 209.90,0.10,73,,,,18,3d5(4F)4p,5F°,L11223
,,3,137 422.88,0.10,74,,,,15,3d5(4F)4p,5F°,L11223
,,2,137 544.70,0.10,75,,,,9,3d5(4F)4p,5F°,L11223
,,1,137 561.18,0.11,84,,,,,,,L11223
,,0,137 573.18,0.13,91,,,,,,,L11223
,,,,,,,,,,,,
3d5(2H)4p,3H°,4,137 528.06,0.10,45,,,,44,3d5(a 2G)4p,3H°,L11223
,,5,137 763.58,0.10,42,,,,42,3d5(a 2G)4p,3H°,L11223
,,6,138 264.58,0.10,45,,,,40,3d5(a 2G)4p,3H°,L11223
,,,,,,,,,,,,
3d5(2H)4p,3G°,5,138 054.60,0.09,48,,,,26,3d5(4F)4p,3G°,L11223
,,4,138 103.16,0.09,44,,,,28,3d5(4F)4p,3G°,L11223
,,3,138 187.96,0.09,42,,,,26,3d5(4F)4p,3G°,L11223
,,,,,,,,,,,,
3d5(a 2D)4p,1P°,1,138 691.80,0.10,53,,,,17,3d5(a 2F)4p,3D°,L11223
,,,,,,,,,,,,
3d5(c 2D)4s,3D,3,138 852.91,0.11,77,,,,23,3d5(a 2D)4s,3D,L11223
,,2,138 881.20,0.15,76,,,,23,3d5(a 2D)4s,3D,L11223
,,1,138 914.55,0.15,76,,,,23,3d5(a 2D)4s,3D,L11223
,,,,,,,,,,,,
3d5(4F)4p,3G°,5,139 463.33,0.09,40,3d5(2H)4p,3I°,,32,3d5(4F)4p,3G°,L11223
,,4,139 625.21,0.09,43,,,,34,3d5(a 2G)4p,3G°,L11223
,,3,139 680.37,0.10,43,,,,40,3d5(a 2G)4p,3G°,L11223
,,,,,,,,,,,,
3d5(2H)4p,3I°,5,139 509.44,0.10,49,,,,21,3d5(4F)4p,3G°,L11223
,,6,139 846.19,0.10,87,,,,5,3d5(2H)4p,3H°,L11223
,,7,140 196.41,0.13,97,,,,,,,L11223
,,,,,,,,,,,,
3d5(a 2F)4p,1D°,2,139 764.50,0.11,57,,,,29,3d5(a 2D)4p,1D°,L11223
,,,,,,,,,,,,
3d5(a 2G)4p,1G°,4,139 827.18,0.09,36,,,,19,3d5(a 2F)4p,1G°,L11223
,,,,,,,,,,,,
3d5(a 2F)4p,1F°,3,140 453.14,0.09,73,,,,5,3d5(a 2G)4p,1F°,L11223
,,,,,,,,,,,,
3d5(a 2G)4p,3F°,3,140 693.38,0.09,44,,,,25,3d5(4F)4p,3F°,L11223
,,2,140 750.86,0.10,42,,,,30,3d5(4F)4p,3F°,L11223
,,4,141 002.97,0.09,46,,,,23,3d5(4F)4p,3F°,L11223
,,,,,,,,,,,,
3d5(4F)4p,3D°,2,141 399.18,0.10,67,,,,7,3d5(a 2G)4p,3F°,L11223
,,3,141 466.65,0.09,65,,,,7,3d5(4D)4p,3D°,L11223
,,1,141 469.38,0.10,84,,,,6,3d5(4D)4p,3D°,L11223
,,,,,,,,,,,,
3d5(2H)4p,1I°,6,141 539.28,0.12,87,,,,6,3d5(2H)4p,3H°,L11223
,,,,,,,,,,,,
3d5(4F)4p,3F°,4,142 046.98,0.10,52,,,,23,3d5(a 2G)4p,3F°,L11223
,,3,142 312.79,0.10,53,,,,23,3d5(a 2G)4p,3F°,L11223
