Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,4,136 269.9996,0.0014,,75,,,,14,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5d,2[1/2],1,136 336.8971,0.0020,,98,,,,1,3d9(2D3/2)5d,2[1/2],L19804
,,0,137 614.140,0.004,,60,,,,37,3d9(2D3/2)5d,2[1/2],L19804
,,,,,,,,,,,,,
3d8(1G)4s4p(3P°),3H°,4,136 693.948,0.003,,97,,,,,,,L19804
,,5,137 082.175,0.005,,96,,,,2,3d94f,1H°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5d,2[9/2],5,136 725.85349,0.0013,,100,,,,,,,L19804
,,4,136 765.3514,0.0018,,99,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5d,2[3/2],2,136 754.1104,0.0018,,97,,,,2,3d9(2D5/2)5d,2[5/2],L19804
,,1,136 773.1713,0.0021,,99,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5d,2[5/2],3,136 919.3511,0.0014,,99,,,,1,3d9(2D5/2)5d,2[7/2],L19804
,,2,137 073.6465,0.0019,,97,,,,2,3d9(2D5/2)5d,2[3/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)5d,2[7/2],3,137 034.778,0.003,,99,,,,1,3d9(2D5/2)5d,2[5/2],L19804
,,4,137 044.4647,0.0017,,99,,,,,,,L19804
,,,,,,,,,,,,,
3d8(1G)4s4p(3P°),3F°,2,137 212.779,0.004,,36,,,,36,3d8(3F)4s4p(1P°),3F°,L19804
,,4,137 938.904,0.007,,49,,,,39,3d96p,3F°,L19804
,,3,139 331.149,0.003,,21,,,,46,3d96p,1F°,L19804
,,,,,,,,,,,,,
3d8(3P)4s4p(3P°),1P°,1,137 242.914,0.008,,82,,,,5,3d8(3P)4s4p(3P°),3P°,L19804
,,,,,,,,,,,,,
3d8(3P)4s4p(3P°),1D°,2,137 648.800,0.004,,50,,,,9,3d8(3P)4s4p(3P°),3D°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)4f,2[3/2]°,2,138 002.8856,0.0023,,94,,,,3,3d84s4p,,L19804
,,1,138 028.384,0.003,,59,,,,26,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)4f,2[9/2]°,5,138 064.2971,0.0021,,99,,,,1,3d84s4p,,L19804
,,4,138 073.5826,0.0022,,98,,,,1,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)4f,2[5/2]°,3,138 130.5345,0.0015,,97,,,,1,3d9(2D3/2)4f,2[7/2]°,L19804
,,2,138 176.8797,0.0018,,89,,,,7,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)4f,2[7/2]°,4,138 219.8605,0.0015,,98,,,,,,,L19804
,,3,138 261.5822,0.0017,,93,,,,1,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)6p,2[7/2]°,3,138 401.956,0.003,,62,,,,29,3d84s4p,,L19804
,,4,139 395.786,0.004,,59,,,,37,3d84s4p,,L19804
,,,,,,,,,,,,,
3d8(3P)4s4p(3P°),3S°,1,138 516.49,0.03,,97,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5d,2[1/2],1,138 593.046,0.003,,98,,,,1,3d9(2D5/2)5d,2[1/2],L19804
,,0,140 589.344,0.006,,47,,,,20,3d9(2D5/2)6d,2[1/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)6p,2[3/2]°,2,138 745.817,0.005,,91,,,,4,3d84s4p,,L19804
,,1,139 241.130,0.005,,73,,,,7,3d9(2D3/2)6p,2[3/2]°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5d,2[7/2],3,138 819.0637,0.0019,,99,,,,1,3d9(2D5/2)5d,2[7/2],L19804
,,4,138 882.8921,0.0019,,99,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5d,2[3/2],1,138 898.334,0.003,,99,,,,,,,L19804
,,2,138 981.246,0.003,,97,,,,2,3d9(2D3/2)5d,2[5/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)6p,2[5/2]°,2,139 028.705,0.005,,41,,,,40,3d84s4p,,L19804
,,3,139 741.097,0.003,,59,,,,31,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5d,2[5/2],3,139 119.4295,0.0020,,100,,,,,,,L19804
,,2,139 142.049,0.003,,97,,,,2,3d9(2D3/2)5d,2[3/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)6p,2[1/2]°,1,140 981.510,0.005,,94,,,,3,3d9(2D5/2)6p,2[3/2]°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)6p,2[5/2]°,3,141 202.628,0.006,,89,,,,8,3d84s4p,,L19804
,,2,141 244.556,0.006,,62,,,,22,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)6p,2[3/2]°,2,141 542.001,0.005,,73,,,,13,3d9(2D3/2)6p,2[5/2]°,L19804
,,1,141 734.175,0.005,,79,,,,16,3d84s4p,,L19804
,,,,,,,,,,,,,
