Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3p63d6f,3F°,4,91 062.5,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6f,1F°,3,91 083.4,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6f,3D°,3,91 128.0,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6f,3P°,2,91 165.0,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6f,1H°,5,91 197.0,,,,,,,,,,
,,,,,,,,,,,,,
Sc III (3d 2D3/2),Limit,---,103 237.1,2.0,,,,,,,,,"L7185,L5141"
