Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
3d6(3G)4p,4G°,7/2,214 101.0,,41,,,,37,3d6(3G)4p,4F°,
,,11/2,214 316.8,,47,,,,21,3d6(3H)4p,2H°,
,,5/2,214 718.1,,46,,,,27,3d6(3G)4p,4F°,
,,9/2,214 910.5,,40,,,,16,3d6(3H)4p,2H°,
,,,,,,,,,,,,
3d6(3F2)4p,°,9/2,214 587.4,,21,2G°,,,16,3d6(3H)4p,2H°,
,,,,,,,,,,,,
3d6(3F2)4p,2G°,7/2,214 622.8,,60,,,,14,3d6(3F1)4p,2G°,
,,,,,,,,,,,,
3d6(3G)4p,°,7/2,215 292.9,,39,4G°,,,33,3d6(3G)4p,4F°,
,,,,,,,,,,,,
3d6(3G)4p,4H°,13/2,215 506.6,,86,,,,11,3d6(3H)4p,4H°,
,,11/2,215 684.5,,73,,,,10,3d6(3H)4p,2H°,
,,7/2,215 724.5,,73,,,,12,3d6(3H)4p,4H°,
,,9/2,215 736.1,,73,,,,9,3d6(3H)4p,4H°,
,,,,,,,,,,,,
3d6(3P2)4p,2S°,1/2,215 531.0,,47,,,,19,3d6(3P1)4p,2S°,
,,,,,,,,,,,,
3d6(3F2)4p,2D°,5/2,217 414.3,,67,,,,10,3d6(3P2)4p,2D°,
,,3/2,217 939.7,,64,,,,15,3d6(3P2)4p,2D°,
,,,,,,,,,,,,
3d6(3H)4p,2H°,11/2,218 860.6,,48,,,,42,3d6(3G)4p,2H°,
,,,,,,,,,,,,
3d6(3G)4p,2F°,5/2,219 553.4,,47,,,,19,3d6(3D)4p,2F°,
,,7/2,219 896.0,,52,,,,16,3d6(3D)4p,2F°,
,,,,,,,,,,,,
3d6(3G)4p,2H°,9/2,219 765.0,,43,,,,39,3d6(3H)4p,2H°,
,,,,,,,,,,,,
3d6(1I)4p,2K°,13/2,220 762.6,,97,,,,2,3d6(1I)4p,2I°,
,,15/2,222 202.8,,99,,,,,,,
,,,,,,,,,,,,
3d6(3G)4p,2G°,9/2,221 991.0,,71,,,,18,3d6(3H)4p,2G°,
,,7/2,222 029.3,,71,,,,12,3d6(3H)4p,2G°,
,,,,,,,,,,,,
3d6(3D)4p,4P°,5/2,222 333.3,,87,,,,3,3d6(3P2)4p,4P°,
,,3/2,222 662.9,,74,,,,8,3d6(3D)4p,2P°,
,,1/2,223 225.4,,66,,,,13,3d6(3D)4p,4D°,
,,,,,,,,,,,,
3d6(1G2)4p,2H°,9/2,222 705.5,,44,,,,17,3d6(1H)4p,2H°,
,,11/2,225 758.5,,36,,,,27,3d6(1G1)4p,2H°,
,,,,,,,,,,,,
3d6(1I)4p,2H°,11/2,222 993.3,,53,,,,25,3d6(1G2)4p,2H°,
,,9/2,225 903.7,,61,,,,15,3d6(1G1)4p,2H°,
,,,,,,,,,,,,
3d6(3D)4p,°,1/2,223 785.4,,33,4D°,,,26,3d6(3D)4p,4P°,
,,,,,,,,,,,,
3d6(3D)4p,4F°,5/2,224 021.3,,58,,,,17,3d6(3G)4p,4F°,
,,7/2,224 824.9,,47,,,,12,3d6(1G2)4p,2G°,
,,9/2,225 096.4,,73,,,,11,3d6(3G)4p,4F°,
,,,,,,,,,,,,
3d6(3D)4p,°,7/2,224 075.3,,24,4F°,,,10,3d6(1G2)4p,2F°,
,,,,,,,,,,,,
3d6(3D)4p,°,3/2,224 174.0,,30,4D°,,,30,3d6(3D)4p,2P°,
,,,,,,,,,,,,
3d6(1G2)4p,2G°,7/2,224 463.6,,44,,,,18,3d6(1G1)4p,2G°,
,,9/2,224 761.5,,50,,,,21,3d6(1G1)4p,2G°,
,,,,,,,,,,,,
3d6(3D)4p,4D°,5/2,224 645.7,,68,,,,14,3d6(3D)4p,4F°,
,,7/2,225 136.9,,54,,,,13,3d6(1G2)4p,2F°,
,,,,,,,,,,,,
3d6(3D)4p,2P°,3/2,224 936.9,,41,,,,41,3d6(3D)4p,4D°,
,,1/2,224 996.5,,40,,,,36,3d6(3D)4p,4D°,
,,,,,,,,,,,,
3d6(1G2)4p,°,5/2,225 431.6,,34,2F°,,,15,3d6(1G1)4p,2F°,
,,,,,,,,,,,,
3d6(1I)4p,2I°,13/2,226 685.0,,98,,,,2,3d6(1I)4p,2K°,
,,11/2,226 702.5,,82,,,,10,3d6(1I)4p,2H°,
,,,,,,,,,,,,
3d6(3D)4p,2D°,3/2,227 181.1,,76,,,,7,3d6(1D2)4p,2P°,
,,5/2,227 549.4,,86,,,,3,3d6(1F)4p,2D°,
,,,,,,,,,,,,
3d6(1D2)4p,2P°,3/2,228 214.2,,34,,,,23,3d6(1S2)4p,2P°,
,,1/2,232 897.0,,40,,,,27,3d6(1S2)4p,2P°,
,,,,,,,,,,,,
3d6(3D)4p,2F°,7/2,228 518.5,,62,,,,14,3d6(1D2)4p,2F°,
,,5/2,229 269.5,,54,,,,20,3d6(1D2)4p,2F°,
,,,,,,,,,,,,
3d6(1S2)4p,°,1/2,229 297.5,,32,2P°,,,26,3d6(1D2)4p,2P°,
,,,,,,,,,,,,
