Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3p6.3d7.(b 2D).4p,3P*,1,,176583.20,,,  98                                                ,
3p6.3d7.(b 2D).4p,3P*,0,,176736.40,,,  99                                                ,
3p6.3d7.(b 2D).4p,3F*,2,,177805.60,,,  96                                                ,
3p6.3d7.(b 2D).4p,3F*,3,,178451.50,,,  96                                                ,
3p6.3d7.(b 2D).4p,3F*,4,,179282.00,,,  97                                                ,
3p6.3d7.(4F).4d,5F,5,,181019.08,,,  90             :     8  3d7.(4F).4d      5G       ,
3p6.3d7.(4F).4d,5F,4,,181482.95,,,  83             :     8  3d7.(4F).4d      5G       ,
3p6.3d7.(4F).4d,5F,3,,181996.70,,,  80             :     8  3d7.(4F).4d      5D       ,
3p6.3d7.(4F).4d,5F,2,,182587.83,,,  87             :     5  3d7.(4F).4d      5D       ,
3p6.3d7.(4F).4d,5F,1,,183035.25,,,  95             :     2  3d7.(4F).4d      5D       ,
3p6.3d7.(b 2D).4p,1P*,1,,181203.4,,,  95                                                ,
3p6.3d7.(b 2D).4p,1F*,3,,181658.4,,,  97                                                ,
3p6.3d7.(4F).4d,5G,6,,181840.00,,,  96             :     4  3d7.(4F).4d      5H       ,
3p6.3d7.(4F).4d,5G,5,,182327.13,,,  63             :    26  3d7.(4F).4d      3G       ,
3p6.3d7.(4F).4d,5G,4,,183041.45,,,  71             :    13  3d7.(4F).4d      3G       ,
3p6.3d7.(4F).4d,5G,3,,183637.76,,,  81             :     4  3d7.(4F).4d      3G       ,
3p6.3d7.(4F).4d,5G,2,,184124.86,,,  74             :    17  3d7.(4F).4d      5P       ,
3p6.3d7.(4F).5s,5F,5,,181998.15,,,  99                                                ,
3p6.3d7.(4F).5s,5F,4,,182798.20,,,  84             :    14  3d7.(4F).5s      3F       ,
3p6.3d7.(4F).5s,5F,3,,183612.67,,,  93                                                ,
3p6.3d7.(4F).5s,5F,2,,184220.35,,,  97                                                ,
3p6.3d7.(4F).5s,5F,1,,184609.57,,,  99                                                ,
3p6.3d7.(4F).4d,5H,7,,182508.30,,,  99                                                ,
3p6.3d7.(4F).4d,5H,6,,183126.19,,,  59             :    39  3d7.(4F).4d      3H       ,
3p6.3d7.(4F).4d,5H,5,,183904.88,,,  80             :    14  3d7.(4F).4d      3H       ,
3p6.3d7.(4F).4d,5H,4,,184510.75,,,  88             :     5  3d7.(4F).4d      3G       ,
3p6.3d7.(4F).4d,5H,3,,184944.95,,,  81             :    17  3d7.(4F).4d      3G       ,
3p6.3d7.(4F).4d,5P,3,,182524.69,,,  83             :     9  3d7.(4F).4d      5D       ,
3p6.3d7.(4F).4d,5P,2,,183575.58,,,  55             :    21  3d7.(4F).4d      5G       ,
3p6.3d7.(4F).4d,5P,1,,184375.68,,,  59             :    38  3d7.(4F).4d      5D       ,
3p6.3d7.(4F).4d,3G,5,,183052.20,,,  66             :    24  3d7.(4F).4d      5G       ,
3p6.3d7.(4F).4d,3G,4,,183859.72,,,  74             :    16  3d7.(4F).4d      5G       ,
3p6.3d7.(4F).4d,3G,3,,184346.50,,,  74             :    15  3d7.(4F).4d      5H       ,
3p6.3d7.(4F).4d,5D,4,,183464.88,,,  85             :     9  3d7.(4F).4d      5F       ,
3p6.3d7.(4F).4d,5D,3,,184518.20,,,  64             :    13  3d7.(4F).4d      3D       ,
3p6.3d7.(4F).4d,5D,2,,185067.15,,,  55             :    25  3d7.(4F).4d      3D       ,
3p6.3d7.(4F).4d,5D,1,,185116.05,,,  46             :    38  3d7.(4F).4d      5P       ,
3p6.3d7.(4F).4d,5D,0,,185147.23,,,  98                                                ,
3p6.3d7.(b 2D).4p,3D*,1,,183717.00,,,  95                                                ,
3p6.3d7.(b 2D).4p,3D*,2,,183872.00,,,  73             :    25  3d7.(b 2D).4p    1D*      ,
3p6.3d7.(b 2D).4p,3D*,3,,184723.10,,,  96                                                ,
3p6.3d7.(4F).4d,3D,3,,183839.47,,,  71             :    14  3d7.(4F).4d      5D       ,
3p6.3d7.(4F).4d,3D,2,,184623.54,,,  66             :    15  3d7.(4F).4d      5D       ,
3p6.3d7.(4F).4d,3D,1,,185543.70,,,  82             :    12  3d7.(4F).4d      5D       ,
3p6.3d7.(4F).5s,3F,4,,184037.62,,,  85             :    14  3d7.(4F).5s      5F       ,
3p6.3d7.(4F).5s,3F,3,,185248.15,,,  93                                                ,
3p6.3d7.(4F).5s,3F,2,,186073.40,,,  97                                                ,
3p6.3d7.(4F).4d,3H,6,,184166.57,,,  60             :    37  3d7.(4F).4d      5H       ,
3p6.3d7.(4F).4d,3H,5,,184805.62,,,  80             :    15  3d7.(4F).4d      5H       ,
3p6.3d7.(4F).4d,3H,4,,185639.13,,,  91             :     5  3d7.(4F).4d      5H       ,
3p6.3d7.(4F).4d,3F,4,,187351.88,,,  86             :     5  3d7.(2G).4d      3F       ,
3p6.3d7.(4F).4d,3F,3,,188140.54,,,  84             :     6  3d7.(2G).4d      3F       ,
3p6.3d7.(4F).4d,3F,2,,188622.87,,,  85             :     6  3d7.(2G).4d      3F       ,
3p6.3d7.(4F).4d,3P,2,,187493.38,,,  87             :     5  3d7.(4P).4d      3P       ,
3p6.3d7.(4F).4d,3P,1,,188542.82,,,  90             :     6  3d7.(4P).4d      3P       ,
3p6.3d7.(4F).4d,3P,0,,189056.90,,,  91             :     6  3d7.(4P).4d      3P       ,
3p6.3d7.(4F).5p,5F*,5,,199919.08,,,  91             :     8  3d7.(4F).5p      5G*      ,
3p6.3d7.(4F).5p,5F*,4,,200076.35,,,  49             :    42  3d7.(4F).5p      5D*      ,
3p6.3d7.(4F).5p,5F*,3,,200962.97,,,  64             :    27  3d7.(4F).5p      5D*      ,
3p6.3d7.(4F).5p,5F*,2,,201725.23,,,  80             :    15  3d7.(4F).5p      5D*      ,
3p6.3d7.(4F).5p,5F*,1,,202263.08,,,  94             :     6  3d7.(4F).5p      5D*      ,
3p6.3d7.(4F).5p,5G*,6,,200747.06,,,  99                                                ,
3p6.3d7.(4F).5p,5G*,5,,201033.68,,,  48             :    43  3d7.(4F).5p      3G*      ,
3p6.3d7.(4F).5p,5G*,4,,201969.90,,,  67             :    14  3d7.(4F).5p      3F*      ,
3p6.3d7.(4F).5p,5G*,3,,202608.20,,,  76             :    11  3d7.(4F).5p      5F*      ,
3p6.3d7.(4F).5p,5G*,2,,203020.07,,,  78             :    10  3d7.(4F).5p      5D*      ,
3p6.3d7.(4F).5p,5D*,4,,200935.60,,,  54             :    29  3d7.(4F).5p      5F*      ,
3p6.3d7.(4F).5p,5D*,3,,201829.46,,,  60             :    19  3d7.(4F).5p      5F*      ,
3p6.3d7.(4F).5p,5D*,2,,202487.82,,,  71             :    17  3d7.(4F).5p      5G*      ,
3p6.3d7.(4F).5p,5D*,1,,202898.94,,,  92             :     6  3d7.(4F).5p      5F*      ,
3p6.3d7.(4F).5p,5D*,0,,203078.46,,,  98                                                ,
3p6.3d7.(4F).5p,3F*,4,,202074.33,,,  71             :     5  3d7.(4F).5p      5F*      ,
3p6.3d7.(4F).5p,3F*,3,,203360.52,,,  57             :    29  3d7.(4F).5p      3D*      ,
3p6.3d7.(4F).5p,3F*,2,,203739.65,,,  58             :    38  3d7.(4F).5p      3D*      ,
3p6.3d7.(4F).5p,3G*,5,,202125.84,,,  54             :    44  3d7.(4F).5p      5G*      ,
3p6.3d7.(4F).5p,3G*,4,,203197.33,,,  75             :    19  3d7.(4F).5p      5G*      ,
3p6.3d7.(4F).5p,3G*,3,,203976.35,,,  85             :     7  3d7.(4F).5p      5G*      ,
