Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,4,47 420.2319,0.0018,2.28,97,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4P)4p,z 3P°,2,46 740.0100,0.0017,1.48,47,,,,35,3d3(4P)4p,5D°,"L20009,L8201"
,,0,47 028.034,0.004,,38,,,,48,3d3(4P)4p,5D°,L20009
,,1,47 108.0794,0.0023,1.43,50,,,,40,3d3(4P)4p,5D°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4P)4p,z 5P°,1,46 754.5327,0.0021,2.28,98,,,,,,,"L20009,L8201"
,,2,46 879.9114,0.0019,1.68,90,,,,8,3d3(4P)4p,3P°,"L20009,L8201"
,,3,47 051.8885,0.0022,1.55,98,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2G)4p,z 3H°,4,47 056.321,0.003,0.78,86,,,,14,3d3(2H)4p,3H°,"L20009,L8201"
,,5,47 297.1150,0.0016,1.01,85,,,,14,3d3(2H)4p,3H°,"L20009,L8201"
,,6,47 607.8215,0.0014,1.13,85,,,,14,3d3(2H)4p,3H°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2D1)4s,d 1D,2,47 324.292,0.004,,64,,,,23,3d3(2D2)4s,1D,L20009
,,,,,,,,,,,,,
3d3(2P)4p,z 1S°,0,48 258.30,0.03,,88,,,,9,3d3(4P)4p,3P°,L20009
,,,,,,,,,,,,,
3d3(2G)4p,y 3G°,3,48 579.9945,0.0013,0.67,83,,,,6,3d3(4F)4p,3G°,"L20009,L8201"
,,4,48 730.7480,0.0018,1.02,88,,,,7,3d3(4F)4p,3G°,"L20009,L8201"
,,5,48 853.0973,0.0015,1.22,86,,,,7,3d3(4F)4p,3G°,"L20009,L8201"
,,,,,,,,,,,,,
3d24s2,e 3P,0,48 898.05,0.03,,95,,,,,,,L20009
,,1,48 975.74,0.03,,95,,,,,,,L20009
,,2,49 204.648,0.022,,92,,,,,,,L20009
,,,,,,,,,,,,,
3d3(2G)4p,y 3F°,2,49 201.7171,0.0018,0.63,73,,,,11,3d3(2D2)4p,3F°,"L20009,L8201"
,,3,49 210.8445,0.0014,0.99,59,,,,19,3d3(2G)4p,1F°,"L20009,L8201"
,,4,49 268.6174,0.0016,1.18,68,,,,18,3d3(2G)4p,1G°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2G)4p,z 1F°,3,49 568.4673,0.0013,0.97,62,,,,21,3d3(2G)4p,3F°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2G)4p,z 1H°,5,49 593.4096,0.0012,0.95,72,,,,23,3d3(2H)4p,1H°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2G)4p,z 1G°,4,49 723.6766,0.0016,0.96,79,,,,15,3d3(2G)4p,3F°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4P)4p,z 5S°,2,49 731.388,0.005,,77,,,,10,3d3(2P)4p,1D°,L20009
,,,,,,,,,,,,,
3d3(2P)4p,z 1D°,2,49 898.2618,0.0016,0.93,39,,,,20,3d3(2D2)4p,1D°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2P)4p,y 3D°,1,50 473.874,0.004,0.49,34,,,,29,3d3(2P)4p,3P°,"L20009,L8201"
,,2,50 775.5487,0.0019,1.11,61,,,,25,3d3(4P)4p,3D°,"L20009,L8201"
,,3,51 085.7739,0.0018,1.27,59,,,,29,3d3(4P)4p,3D°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2P)4p,y 3P°,0,50 662.363,0.003,,65,,,,22,3d3(2D2)4p,3P°,L20009
,,1,50 738.861,0.003,1.39,32,,,,31,3d3(2P)4p,3D°,"L20009,L8201"
,,2,51 123.299,0.004,1.51,60,,,,24,3d3(2D2)4p,3P°,"L20009,L8201"
,,,,,,,,,,,,,
3d4,e 1D1,2,50 951.737,0.020,,48,,,,26,3d24s2,1D,L20009
,,,,,,,,,,,,,
3d3(2H)4p,y 3H°,4,52 082.8854,0.0021,0.70,84,,,,14,3d3(2G)4p,3H°,"L20009,L8201"
,,5,52 153.5082,0.0017,0.98,85,,,,14,3d3(2G)4p,3H°,"L20009,L8201"
,,6,52 252.6480,0.0019,1.04?,85,,,,14,3d3(2G)4p,3H°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2P)4p,z 3S°,1,52 181.204,0.003,1.85,85,,,,10,3d3(4P)4p,3S°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2D2)4p,x 3F°,2,52 245.733,0.003,0.68,53,,,,17,3d3(2D1)4p,3F°,"L20009,L8201"
,,3,52 391.9627,0.0021,1.07,33,,,,33,3d3(4P)4p,3D°,"L20009,L8201"
,,4,52 657.4892,0.0023,1.18?,63,,,,20,3d3(2D1)4p,3F°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4P)4p,x 3D°,1,52 604.222,0.004,0.63,56,,,,19,3d3(2P)4p,3D°,"L20009,L8201"
,,2,52 700.067,0.003,1.10,54,,,,26,3d3(2P)4p,3D°,"L20009,L8201"
,,3,52 767.3745,0.0021,1.26,27,,,,28,3d3(2D2)4p,3F°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2D2)4p,z 1P°,1,52 803.796,0.004,0.92,50,,,,20,3d3(2D1)4p,1P°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2H)4p,z 3I°,5,52 878.029,0.005,0.84?,99,,,,,,,"L20009,L8201"
,,6,53 076.8305,0.0019,0.98,100,,,,,,,"L20009,L8201"
,,7,53 319.539,0.003,1.11?,100,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d24s2,d 1G,4,53 607.206,0.024,,96,,,,,,,L20009
,,,,,,,,,,,,,
3d3(2D2)4p,w 3D°,1,53 751.589,0.003,0.49?,65,,,,19,3d3(2D1)4p,3D°,"L20009,L8201"
,,2,53 868.671,0.003,1.10,68,,,,19,3d3(2D1)4p,3D°,"L20009,L8201"
,,3,53 927.2005,0.0024,1.37,71,,,,19,3d3(2D1)4p,3D°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2H)4p,y 1G°,4,54 144.1912,0.0018,1.00,83,,,,11,3d3(2F)4p,1G°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2D2)4p,x 3P°,2,54 715.687,0.003,,41,,,,30,3d3(2P)4p,3P°,L20009
,,1,54 717.923,0.006,,39,,,,26,3d3(2P)4p,3P°,L20009
,,0,54 813.486,0.017,,43,,,,29,3d3(2P)4p,3P°,L20009
,,,,,,,,,,,,,
3d3(2D2)4p,y 1F°,3,55 142.0747,0.0024,0.94,52,,,,19,3d3(2H)4p,3G°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2H)4p,x 3G°,5,55 206.8615,0.0022,1.15,67,,,,20,3d3(2H)4p,1H°,"L20009,L8201"
,,4,55 304.3869,0.0021,1.02,90,,,,,,,"L20009,L8201"
,,3,55 349.707,0.003,0.82,73,,,,14,3d3(2D2)4p,1F°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2H)4p,z 1I°,6,55 403.4184,0.0015,1.01?,99,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2H)4p,y 1H°,5,55 499.3690,0.0018,1.03?,55,,,,24,3d3(2H)4p,3G°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4P)4p,y 3S°,1,55 663.385,0.004,1.92,65,,,,12,3d3(2P)4p,1P°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2P)4p,y 1P°,1,56 171.509,0.003,1.05?,65,,,,16,3d3(4P)4p,3S°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2D2)4p,y 1D°,2,57 342.637,0.003,0.98,41,,,,38,3d3(2P)4p,1D°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2F)4p,w 3F°,2,62 085.063,0.005,0.58?,69,,,,21,3d2(3F)4s(4F)4p,5G°,"L20009,L8201"
,,3,62 133.354,0.003,1.00,85,,,,5,3d2(3F)4s(4F)4p,3F°,"L20009,L8201"
,,4,62 176.232,0.003,1.36?,89,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d2(3F)4s4p(3P°),5G°,2,62 285.957,0.008,,79,,,,19,3d3(2F)4p,3F°,L20009
,,3,62 444.366,0.006,,96,,,,,,,L20009
,,4,62 682.213,0.005,,99,,,,,,,L20009
,,5,62 987.803,0.005,,99,,,,,,,L20009
,,6,63 356.099†,0.0054,,100,,,,,,,L20009
,,,,,,,,,,,,,
3d2(3F)4s4p(3P°),y 5F°,1,63 549.397,0.009,,98,,,,,,,L20009
,,2,63 656.940,0.008,,98,,,,,,,L20009
,,3,63 816.797,0.006,,98,,,,,,,L20009
,,4,64 026.297,0.006,,98,,,,,,,L20009
,,5,64 286.399,0.005,,72,,,,26,3d3(2F)4p,3G°,L20009
,,,,,,,,,,,,,
3d3(2F)4p,w 3G°,3,64 057.463,0.005,0.72?,95,,,,,,,"L20009,L8201"
,,4,64 130.824,0.003,1.02,94,,,,,,,"L20009,L8201"
,,5,64 229.178,0.003,,70,,,,26,3d2(3F)4s(4F)4p,5F°,L20009
,,,,,,,,,,,,,
3d3(2F)4p,x 1D°,2,64 586.215,0.004,1.03?,80,,,,12,3d3(2D1)4p,1D°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2F)4p,v 3D°,3,64 603.496,0.003,1.22?,88,,,,,,,"L20009,L8201"
,,2,64 804.177,0.003,1.02?,88,,,,,,,"L20009,L8201"
,,1,64 930.745,0.007,0.46?,88,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d2(3F)4s4p(3P°),x 5D°,0,65 782.459,0.019,,93,,,,5,3d2(3P)4s4p(3P°),5D°,L20009
,,1,65 815.699,0.011,,93,,,,5,3d2(3P)4s4p(3P°),5D°,L20009
,,2,65 884.907,0.006,,92,,,,,,,L20009
,,3,65 995.887,0.005,,92,,,,,,,L20009
,,4,66 157.777,0.005,,93,,,,,,,L20009
,,,,,,,,,,,,,
