Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,5/2,218 705.25,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5d,g 4F,3/2,218 669.26,,,,,,,,,
,,5/2,218 816.97,,,,,,,,,
,,7/2,218 977.34,,,,,,,,,
,,9/2,219 195.95,,,,,,,,,
,,,,,,,,,,,,
3d4(3H)4f,x 4H°,13/2,230 134.95,,,,,,,,,
,,11/2,230 281.25,,,,,,,,,
,,9/2,230 369.62,,,,,,,,,
,,7/2,230 506.52,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5f,y 6H°,5/2,231 361.28,,,,,,,,,
,,7/2,231 387.66,,,,,,,,,
,,9/2,231 487.34,,,,,,,,,
,,11/2,231 752.76,,,,,,,,,
,,13/2,232 075.44,,,,,,,,,
,,15/2,232 433.03,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5f,w 6F°,5/2,232 065.03,,,,,,,,,
,,7/2,232 264.42,,,,,,,,,
,,9/2,232 478.68,,,,,,,,,
,,11/2,232 761.16,,,,,,,,,
,,,,,,,,,,,,
