Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,1/2,63 559.498,0.003,0.013,72,,,,15,3d6(3F1)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F2)4p,y 4G°,11/2,63 876.325,0.003,1.24,52,,,,26,3d6(3H)4p,4G°,"L18349,L18361c138"
,,9/2,63 948.803,0.003,1.15,42,,,,29,3d6(3H)4p,4G°,"L18349,L18361c138"
,,7/2,64 040.891,0.003,0.975,39,,,,33,3d6(3H)4p,4G°,"L18349,L18361c138"
,,5/2,64 087.408,0.003,0.617,37,3d6(3H)4p,4G°,,35,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F2)4p,z 2F°,7/2,64 286.354,0.003,1.135,41,,,,17,3d6(3F1)4p,2F°,"L18349,L18361c138"
,,5/2,64 425.405,0.003,0.82,45,,,,18,3d6(3F1)4p,2F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)4p,z 2P°,1/2,64 806.494,0.003,,47,,,,32,3d6(3P1)4p,2P°,"L18349,L18361c138"
,,3/2,64 834.069,0.003,1.329,54,,,,34,3d6(3P1)4p,2P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F2)4p,y 2G°,9/2,64 831.951,0.003,1.101,62,,,,16,3d6(3F1)4p,2G°,"L18349,L18361c138"
,,7/2,65 109.691,0.003,0.896,64,,,,15,3d6(3F1)4p,2G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3H)4p,z 2H°,11/2,65 363.607,0.003,1.066,60,,,,22,3d6(3G)4p,2H°,"L18349,L18361c138"
,,9/2,65 556.271,0.003,0.913,63,,,,22,3d6(3G)4p,2H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3G)4p,x 4G°,11/2,65 580.065,0.003,,83,,,,7,3d6(3G)4p,2H°,"L18349,L18361c138"
,,9/2,65 696.053,0.003,,55,,,,32,3d6(3G)4p,4F°,"L18349,L18361c138"
,,7/2,65 931.358,0.003,1.00,76,,,,11,3d6(3G)4p,4F°,"L18349,L18361c138"
,,5/2,66 078.272,0.003,0.62,83,,,,4,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3G)4p,x 4F°,9/2,66 012.775,0.003,,52,,,,34,3d6(3G)4p,4G°,"L18349,L18361c138"
,,7/2,66 377.315,0.003,1.21,71,,,,13,3d6(3G)4p,4G°,"L18349,L18361c138"
,,5/2,66 522.310,0.003,1.02,62,,,,13,3d6(3F2)4p,2D°,"L18349,L18361c138"
,,3/2,66 612.659,0.003,,62,,,,17,3d6(3F2)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)4p,z 2S°,1/2,66 248.647,0.003,,58,,,,31,3d6(3P1)4p,2S°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3G)4p,y 4H°,13/2,66 411.712,0.003,,90,,,,8,3d6(3H)4p,4H°,"L18349,L18361c138"
,,11/2,66 463.542,0.003,1.13,77,,,,7,3d6(3H)4p,2H°,"L18349,L18361c138"
,,9/2,66 589.042,0.003,0.959,83,,,,8,3d6(3H)4p,4H°,"L18349,L18361c138"
,,7/2,66 672.336,0.003,0.69,86,,,,10,3d6(3H)4p,4H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F2)4p,y 2D°,5/2,67 000.530,0.003,1.16,59,,,,15,3d6(3G)4p,4F°,"L18349,L18361c138"
,,3/2,67 273.833,0.003,0.719,54,,,,19,3d6(3G)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3G)4p,y 2H°,11/2,67 516.328,0.003,1.07,57,,,,26,3d6(3H)4p,2H°,"L18349,L18361c138"
,,9/2,68 000.785,0.003,0.907,62,,,,26,3d6(3H)4p,2H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(6S)4s4p(3P°),x 4P°,5/2,69 102.427,0.003,,96,3d54s(5S)4p,4P°,,,,,"L18349,L18361c138"
,,3/2,69 302.086,0.004,,96,3d54s(5S)4p,4P°,,,,,"L18349,L18361c138"
,,1/2,69 427.014,0.004,,96,3d54s(5S)4p,4P°,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3G)4p,y 2F°,7/2,69 606.567,0.003,1.13,66,,,,11,3d6(3F2)4p,2F°,"L18349,L18361c138"
,,5/2,69 650.481,0.003,0.857,67,,,,9,3d6(3D)4p,2F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3G)4p,x 2G°,9/2,70 314.624,0.003,1.11,79,,,,17,3d6(3H)4p,2G°,"L18349,L18361c138"
,,7/2,70 523.694,0.003,0.87,73,,,,13,3d6(3H)4p,2G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1I)4p,z 2K°,13/2,70 986.667,0.004,,99,,,,,,,"L18349,L18361c138"
,,15/2,71 432.690,0.003,1.05,99,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3D)4p,w 4P°,5/2,71 964.750,0.003,,86,,,,6,3d6(3D)4p,4D°,"L18349,L18361c138"
,,3/2,72 043.060,0.004,1.66,67,,,,15,3d6(3D)4p,4D°,"L18349,L18361c138"
,,1/2,72 212.989,0.004,,57,,,,30,3d6(3D)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1G2)4p,x 2H°,9/2,72 130.375,0.003,0.91,47,,,,22,3d6(1I)4p,2H°,"L18349,L18361c138"
,,11/2,72 261.742,0.003,1.08,44,3d6(1I)4p,2H°,,35,3d6(1G2)4p,2H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3D)4p,w 4F°,3/2,72 169.004,0.003,,76,,,,10,3d6(3G)4p,4F°,"L18349,L18361c138"
,,5/2,72 238.564,0.003,,75,,,,10,3d6(3G)4p,4F°,"L18349,L18361c138"
,,7/2,72 352.046,0.003,,64,,,,10,3d6(3D)4p,4D°,"L18349,L18361c138"
,,9/2,72 650.698,0.003,,87,,,,8,3d6(3G)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3D)4p,w 4D°,1/2,72 429.675,0.005,,51,,,,35,3d6(3D)4p,4P°,"L18349,L18361c138"
,,3/2,72 524.561,0.003,,69,,,,16,3d6(3D)4p,4P°,"L18349,L18361c138"
,,5/2,72 619.499,0.003,,77,,,,7,3d6(3D)4p,4F°,"L18349,L18361c138"
,,7/2,72 651.914,0.003,,55,,,,19,3d6(3D)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1G2)4p,x 2F°,7/2,73 016.184,0.003,,25,,,,23,3d6(3D)4p,4D°,"L18349,L18361c138"
,,5/2,73 054.913,0.003,,36,3d6(3D)4p,2F°,,29,3d6(1G2)4p,2F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1G2)4p,w 2G°,9/2,73 091.630,0.003,,57,,,,26,3d6(1G1)4p,2G°,"L18349,L18361c138"
,,7/2,73 143.346,0.003,0.91,58,,,,27,3d6(1G1)4p,2G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3D)4p,y 2P°,1/2,73 187.318,0.004,,73,,,,11,3d6(1S2)4p,2P°,"L18349,L18361c138"
,,3/2,73 189.114,0.003,,77,,,,9,3d6(1S2)4p,2P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d54s2,4F,9/2,73 393.771,0.003,,96,,,,2,3d5(4F)4p2,4F,"L18349,L18361c138"
,,5/2,73 395.831,0.003,,79,,,,17,3d54s2,2F1,"L18349,L18361c138"
,,7/2,73 492.248,0.003,,87,,,,10,3d54s2,2F1,"L18349,L18361c138"
,,3/2,73 637.285,0.003,,89,,,,7,3d54s2,2D3,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1I)4p,w 2H°,11/2,73 603.537,0.004,,36,,,,27,3d6(1G2)4p,2H°,"L18349,L18361c138"
,,9/2,73 751.276,0.004,,64,,,,12,3d6(1G1)4p,2H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1I)4p,y 2I°,13/2,73 966.843,0.003,,97,,,,,,,"L18349,L18361c138"
,,11/2,73 969.761,0.004,,88,,,,7,3d6(1I)4p,2H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3D)4p,x 2D°,3/2,74 498.093,0.004,,90,,,,3,3d6(1F)4p,2D°,"L18349,L18361c138"
,,5/2,74 606.864,0.004,,91,,,,2,3d6(1F)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3D)4p,w 2F°,7/2,75 600.900,0.004,1.125,56,,,,16,3d6(1G2)4p,2F°,"L18349,L18361c138"
,,5/2,75 915.080,0.003,0.844,49,,,,22,3d6(1G2)4p,2F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1S2)4p,x 2P°,3/2,76 129.465,0.004,1.34,37,3d6(1D2)4p,2P°,,30,3d6(1S2)4p,2P°,"L18349,L18361c138"
,,1/2,76 577.436,0.003,,31,,,,30,3d6(1D2)4p,2P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1D2)4p,v 2F°,5/2,77 742.736,0.004,,60,,,,17,3d6(1D1)4p,2F°,"L18349,L18361c138"
,,7/2,78 137.404,0.004,1.13,64,,,,18,3d6(1D1)4p,2F°,"L18349,L18361c138"
,,,,,,,,,,,,,
